player,td24_rush,td24_rec,td24_total,career_rush,career_rec,career_total
d. da.williams,0,0,0,6,2,8
d. darr.williams,0,0,0,2,0,2
d. dav.bell,0,0,0,0,3,3
d. de.jackson,0,0,0,1,0,1
d. di.johnson,0,2,2,0,4,4
d. dio.johnson,0,1,1,0,1,1
d. dj.moore,0,0,0,0,4,4
d. jr.,0,0,0,0,4,4
d.achane,6,6,12,14,9,23
d.adams,0,8,8,0,61,61
d.allen,0,1,1,0,2,2
d.amendola,0,0,0,0,3,3
d.arnold,0,0,0,0,4,4
d.asiasi,0,0,0,0,1,1
d.bellinger,0,0,0,1,3,4
d.booker,0,0,0,5,1,6
d.brees,0,0,0,2,0,2
d.brown,0,2,2,0,5,5
d.bryant,0,0,0,0,2,2
d.byrd,0,0,0,0,4,4
d.carr,1,0,1,4,0,4
d.carter,0,0,0,0,6,6
d.chark,0,1,1,0,12,12
d.chark jr.,0,0,0,0,4,4
d.cook,0,0,0,30,3,33
d.d.achane,6,6,12,14,9,23
d.d.adams,0,8,8,0,61,61
d.d.allen,0,1,1,0,2,2
d.d.amendola,0,0,0,0,3,3
d.d.arnold,0,0,0,0,4,4
d.d.asiasi,0,0,0,0,1,1
d.d.bellinger,0,0,0,1,3,4
d.d.booker,0,0,0,5,1,6
d.d.brees,0,0,0,2,0,2
d.d.brown,0,2,2,0,5,5
d.d.bryant,0,0,0,0,2,2
d.d.byrd,0,0,0,0,4,4
d.d.carr,1,0,1,4,0,4
d.d.carter,0,0,0,0,6,6
d.d.chark,0,1,1,0,12,12
d.d.cook,0,0,0,30,3,33
d.d.dafney,0,0,0,0,1,1
d.d.dallas,0,1,1,4,2,6
d.d.daniels,0,0,0,0,1,1
d.d.davis,0,2,2,0,2,2
d.d.douglas,0,3,3,0,3,3
d.d.duvernay,0,0,0,1,5,6
d.d.eskridge,0,0,0,0,1,1
d.d.evans,0,0,0,1,1,2
d.d.fells,0,0,0,0,4,4
d.d.felton,0,0,0,0,2,2
d.d.fitzpatrick,0,0,0,0,1,1
d.d.foreman,0,0,0,12,2,14
d.d.freeman,0,0,0,6,1,7
d.d.goedert,0,3,3,0,18,18
d.d.gore,0,0,0,2,0,2
d.d.hamilton,0,0,0,0,2,2
d.d.harris,0,0,0,21,4,25
d.d.harty,0,0,0,0,1,1
d.d.haskins,0,0,0,1,0,1
d.d.henderson,0,0,0,15,4,19
d.d.henry,19,2,21,72,2,74
d.d.hilliard,0,0,0,2,4,6
d.d.hopkins,0,6,6,0,30,30
d.d.inman,0,0,0,0,2,2
d.d.jackson,0,0,0,1,4,5
d.d.johnson,0,0,0,9,23,32
d.d.jones,2,0,2,13,0,13
d.d.kincaid,0,2,2,0,5,5
d.d.knox,0,1,1,0,27,27
d.d.lewis,0,0,0,2,1,3
d.d.lock,2,0,2,7,0,7
d.d.london,0,9,9,0,15,15
d.d.maye,2,0,2,2,0,2
d.d.metcalf,0,5,5,0,45,45
d.d.mills,0,0,0,2,0,2
d.d.milne,0,0,0,0,1,1
d.d.montgomery,12,0,12,47,4,51
d.d.mooney,0,5,5,1,16,17
d.d.moore,0,9,9,1,36,37
d.d.njoku,0,5,5,0,21,21
d.d.ogunbowale,0,1,1,2,2,4
d.d.parham,0,0,0,0,8,8
d.d.parker,0,0,0,0,9,9
d.d.patmon,0,0,0,0,1,1
d.d.peoples-jones,0,0,0,0,8,8
d.d.pettis,0,1,1,0,6,6
d.d.pierce,2,0,2,8,1,9
d.d.pinter,0,0,0,0,1,1
d.d.prescott,1,0,1,10,1,11
d.d.ridder,0,0,0,5,0,5
d.d.robinson,0,7,7,0,20,20
d.d.sample,0,1,1,0,4,4
d.d.samuel,1,3,4,18,21,39
d.d.schultz,0,2,2,0,28,28
d.d.singletary,4,0,4,26,2,28
d.d.skipper,0,1,1,0,1,1
d.d.slayton,0,2,2,0,13,13
d.d.smith,0,9,9,0,29,29
d.d.smythe,0,0,0,1,3,4
d.d.swift,6,0,6,29,8,37
d.d.thompkins,0,0,0,0,1,1
d.d.thompson,0,0,0,1,1,2
d.d.turner,1,1,2,1,1,2
d.d.vele,0,3,3,0,3,3
d.d.walker,0,1,1,0,1,1
d.d.waller,0,0,0,0,15,15
d.d.washington,0,1,1,0,1,1
d.d.watson,1,0,1,6,0,6
d.d.watt,0,0,0,1,1,2
d.d.webb,0,0,0,1,0,1
d.d.wicks,0,5,5,0,10,10
d.d.williams,0,0,0,3,1,4
d.da.johnson,0,0,0,4,1,5
d.da.williams,0,0,0,6,2,8
d.dafney,0,0,0,0,1,1
d.dallas,0,1,1,4,2,6
d.daniels,0,0,0,0,1,1
d.darr.williams,0,0,0,2,0,2
d.dav.bell,0,0,0,0,3,3
d.davis,0,2,2,0,2,2
d.de.jackson,0,0,0,1,0,1
d.di.johnson,0,2,2,0,4,4
d.dio.johnson,0,1,1,0,1,1
d.dj.moore,0,0,0,0,4,4
d.douglas,0,3,3,0,3,3
d.duvernay,0,0,0,1,5,6
d.eskridge,0,0,0,0,1,1
d.evans,0,0,0,1,1,2
d.fells,0,0,0,0,4,4
d.felton,0,0,0,0,2,2
d.fitzpatrick,0,0,0,0,1,1
d.foreman,0,0,0,12,2,14
d.freeman,0,0,0,6,1,7
d.goedert,0,3,3,0,18,18
d.gore,0,0,0,2,0,2
d.hamilton,0,0,0,0,2,2
d.harris,0,0,0,21,4,25
d.harty,0,0,0,0,1,1
d.haskins,0,0,0,1,0,1
d.henderson,0,0,0,15,4,19
d.henry,19,2,21,72,2,74
d.hilliard,0,0,0,2,4,6
d.hopkins,0,6,6,0,30,30
d.inman,0,0,0,0,2,2
d.jackson,0,0,0,1,4,5
d.johnson,0,0,0,9,23,32
d.jones,2,0,2,13,0,13
d.jr.,0,0,0,0,4,4
d.kincaid,0,2,2,0,5,5
d.knox,0,1,1,0,27,27
d.lewis,0,0,0,2,1,3
d.lock,2,0,2,7,0,7
d.london,0,9,9,0,15,15
d.maye,2,0,2,2,0,2
d.metcalf,0,5,5,0,45,45
d.mills,0,0,0,2,0,2
d.milne,0,0,0,0,1,1
d.montgomery,12,0,12,47,4,51
d.mooney,0,5,5,1,16,17
d.moore,0,9,9,1,36,37
d.njoku,0,5,5,0,21,21
d.ogunbowale,0,1,1,2,2,4
d.parham,0,0,0,0,8,8
d.parham jr.,0,0,0,0,3,3
d.parker,0,0,0,0,9,9
d.patmon,0,0,0,0,1,1
d.peoples-jones,0,0,0,0,8,8
d.pettis,0,1,1,0,6,6
d.pierce,2,0,2,8,1,9
d.pinter,0,0,0,0,1,1
d.prescott,1,0,1,10,1,11
d.ridder,0,0,0,5,0,5
d.robinson,0,7,7,0,20,20
d.sample,0,1,1,0,4,4
d.samuel,1,3,4,18,21,39
d.schultz,0,2,2,0,28,28
d.singletary,4,0,4,26,2,28
d.skipper,0,1,1,0,1,1
d.slayton,0,2,2,0,13,13
d.smith,0,9,9,0,29,29
d.smythe,0,0,0,1,3,4
d.swift,6,0,6,29,8,37
d.thompkins,0,0,0,0,1,1
d.thompson,0,0,0,1,1,2
d.turner,1,1,2,1,1,2
d.vele,0,3,3,0,3,3
d.walker,0,1,1,0,1,1
d.waller,0,0,0,0,15,15
d.washington,0,1,1,0,1,1
d.watson,1,0,1,6,0,6
d.watt,0,0,0,1,1,2
d.webb,0,0,0,1,0,1
d.wicks,0,5,5,0,10,10
d.williams,0,0,0,3,1,4
da.johnson,0,0,0,4,1,5
da.williams,0,0,0,6,2,8
darr.williams,0,0,0,2,0,2
dav.bell,0,0,0,0,3,3
de.jackson,0,0,0,1,0,1
di.johnson,0,2,2,0,4,4
dio.johnson,0,1,1,0,1,1
dj.moore,0,0,0,0,4,4
e. brown,0,0,0,0,2,2
e. e.benjamin,0,0,0,3,0,3
e. e.demercado,1,0,1,3,0,3
e. e.ebron,0,0,0,1,7,8
e. e.elliott,3,0,3,34,6,40
e. e.engram,0,1,1,1,14,15
e. e.fisher,0,0,0,0,1,1
e. e.higgins,0,2,2,0,3,3
e. e.jenkins,0,1,1,0,1,1
e. e.mitchell,0,0,0,11,2,13
e. e.moore,0,1,1,1,9,10
e. e.penny,0,0,0,1,1,2
e. e.sanders,0,0,0,0,10,10
e. e.saubert,0,1,1,0,3,3
e. e.stick,0,0,0,1,0,1
e. e.tomlinson,0,0,0,0,2,2
e. em.wilson,4,1,5,4,1,5
e.benjamin,0,0,0,3,0,3
e.brown,0,0,0,0,2,2
e.demercado,1,0,1,3,0,3
e.e.benjamin,0,0,0,3,0,3
e.e.demercado,1,0,1,3,0,3
e.e.ebron,0,0,0,1,7,8
e.e.elliott,3,0,3,34,6,40
e.e.engram,0,1,1,1,14,15
e.e.fisher,0,0,0,0,1,1
e.e.higgins,0,2,2,0,3,3
e.e.jenkins,0,1,1,0,1,1
e.e.mitchell,0,0,0,11,2,13
e.e.moore,0,1,1,1,9,10
e.e.penny,0,0,0,1,1,2
e.e.sanders,0,0,0,0,10,10
e.e.saubert,0,1,1,0,3,3
e.e.stick,0,0,0,1,0,1
e.e.tomlinson,0,0,0,0,2,2
e.ebron,0,0,0,1,7,8
e.elliott,3,0,3,34,6,40
e.em.wilson,4,1,5,4,1,5
e.engram,0,1,1,1,14,15
e.fisher,0,0,0,0,1,1
e.higgins,0,2,2,0,3,3
e.jenkins,0,1,1,0,1,1
e.mitchell,0,0,0,11,2,13
e.moore,0,1,1,1,9,10
e.penny,0,0,0,1,1,2
e.sanders,0,0,0,0,10,10
e.saubert,0,1,1,0,3,3
e.st. brown,0,0,0,0,2,2
e.stick,0,0,0,1,0,1
e.tomlinson,0,0,0,0,2,2
em.wilson,4,1,5,4,1,5
f. f.gore,0,0,0,2,0,2
f. f.moreau,0,5,5,0,13,13
f. f.swain,0,0,0,0,6,6
f.f.gore,0,0,0,2,0,2
f.f.moreau,0,5,5,0,13,13
f.f.swain,0,0,0,0,6,6
f.gore,0,0,0,2,0,2
f.moreau,0,5,5,0,13,13
f.swain,0,0,0,0,6,6
g. g.bernard,0,0,0,4,6,10
g. g.brightwell,0,0,0,1,0,1
g. g.calcaterra,0,1,1,0,1,1
g. g.davis,0,2,2,0,35,35
g. g.dortch,0,3,3,0,7,7
g. g.dulcich,0,0,0,0,2,2
g. g.edwards,4,0,4,26,0,26
g. g.everett,0,0,0,1,13,14
g. g.igwebuike,0,0,0,1,0,1
g. g.kittle,0,8,8,0,35,35
g. g.minshew,0,0,0,4,0,4
g. g.nabers,0,0,0,0,2,2
g. g.olsen,0,0,0,0,1,1
g. g.olszewski,0,0,0,0,1,1
g. g.pickens,0,4,4,1,13,14
g. g.smith,2,0,2,5,0,5
g. g.swaim,0,0,0,0,5,5
g. g.tate,0,0,0,0,2,2
g. g.ward,0,0,0,0,9,9
g. g.wilson,0,7,7,0,14,14
g. ii,0,0,0,1,0,1
g.bernard,0,0,0,4,6,10
g.brightwell,0,0,0,1,0,1
g.calcaterra,0,1,1,0,1,1
g.davis,0,2,2,0,35,35
g.dortch,0,3,3,0,7,7
g.dulcich,0,0,0,0,2,2
g.edwards,4,0,4,26,0,26
g.everett,0,0,0,1,13,14
g.g.bernard,0,0,0,4,6,10
g.g.brightwell,0,0,0,1,0,1
g.g.calcaterra,0,1,1,0,1,1
g.g.davis,0,2,2,0,35,35
g.g.dortch,0,3,3,0,7,7
g.g.dulcich,0,0,0,0,2,2
g.g.edwards,4,0,4,26,0,26
g.g.everett,0,0,0,1,13,14
g.g.igwebuike,0,0,0,1,0,1
g.g.kittle,0,8,8,0,35,35
g.g.minshew,0,0,0,4,0,4
g.g.nabers,0,0,0,0,2,2
g.g.olsen,0,0,0,0,1,1
g.g.olszewski,0,0,0,0,1,1
g.g.pickens,0,4,4,1,13,14
g.g.smith,2,0,2,5,0,5
g.g.swaim,0,0,0,0,5,5
g.g.tate,0,0,0,0,2,2
g.g.ward,0,0,0,0,9,9
g.g.wilson,0,7,7,0,14,14
g.igwebuike,0,0,0,1,0,1
g.ii,0,0,0,1,0,1
g.kittle,0,8,8,0,35,35
g.minshew,0,0,0,4,0,4
g.minshew ii,0,0,0,1,0,1
g.nabers,0,0,0,0,2,2
g.olsen,0,0,0,0,1,1
g.olszewski,0,0,0,0,1,1
g.pickens,0,4,4,1,13,14
g.smith,2,0,2,5,0,5
g.swaim,0,0,0,0,5,5
g.tate,0,0,0,0,2,2
g.ward,0,0,0,0,9,9
g.wilson,0,7,7,0,14,14
h. h.bryant,0,0,0,0,10,10
h. h.haskins,2,1,3,2,1,3
h. h.henry,0,2,2,0,23,23
h. h.hurst,0,0,0,0,13,13
h. h.luepke,0,0,0,1,0,1
h. h.renfrow,0,0,0,0,13,13
h. h.ruggs,0,0,0,0,4,4
h.bryant,0,0,0,0,10,10
h.h.bryant,0,0,0,0,10,10
h.h.haskins,2,1,3,2,1,3
h.h.henry,0,2,2,0,23,23
h.h.hurst,0,0,0,0,13,13
h.h.luepke,0,0,0,1,0,1
h.h.renfrow,0,0,0,0,13,13
h.h.ruggs,0,0,0,0,4,4
h.haskins,2,1,3,2,1,3
h.henry,0,2,2,0,23,23
h.hurst,0,0,0,0,13,13
h.luepke,0,0,0,1,0,1
h.renfrow,0,0,0,0,13,13
h.ruggs,0,0,0,0,4,4
i. i.davis,1,1,2,1,1,2
i. i.ford,0,0,0,0,2,2
i. i.guerendo,4,0,4,4,0,4
i. i.hodgins,0,0,0,0,8,8
i. i.likely,0,7,7,0,16,16
i. i.mckenzie,0,0,0,2,11,13
i. i.pacheco,1,0,1,17,2,19
i. i.smith,0,0,0,2,9,11
i. i.smith-marsette,0,0,0,1,2,3
i. i.thomas,0,0,0,0,1,1
i.davis,1,1,2,1,1,2
i.ford,0,0,0,0,2,2
i.guerendo,4,0,4,4,0,4
i.hodgins,0,0,0,0,8,8
i.i.davis,1,1,2,1,1,2
i.i.ford,0,0,0,0,2,2
i.i.guerendo,4,0,4,4,0,4
i.i.hodgins,0,0,0,0,8,8
i.i.likely,0,7,7,0,16,16
i.i.mckenzie,0,0,0,2,11,13
i.i.pacheco,1,0,1,17,2,19
i.i.smith,0,0,0,2,9,11
i.i.smith-marsette,0,0,0,1,2,3
i.i.thomas,0,0,0,0,1,1
i.likely,0,7,7,0,16,16
i.mckenzie,0,0,0,2,11,13
i.pacheco,1,0,1,17,2,19
i.smith,0,0,0,2,9,11
i.smith-marsette,0,0,0,1,2,3
i.thomas,0,0,0,0,1,1
j. j.adams,0,0,0,2,0,2
j. j.addison,1,9,10,1,19,20
j. j.agnew,0,0,0,1,5,6
j. j.akins,0,2,2,0,8,8
j. j.allen,14,0,14,54,1,55
j. j.bates,0,0,0,0,2,2
j. j.bobo,0,1,1,1,3,4
j. j.brissett,0,0,0,6,0,6
j. j.brooks,0,1,1,0,1,1
j. j.brown,0,0,0,0,4,4
j. j.browning,0,0,0,3,0,3
j. j.brownlee,0,0,0,0,1,1
j. j.burrow,2,0,2,13,0,13
j. j.cabinda,0,0,0,0,1,1
j. j.chase,0,17,17,0,49,49
j. j.coker,0,2,2,0,2,2
j. j.conner,8,1,9,45,7,52
j. j.cook,19,2,21,24,18,42
j. j.croom,0,0,0,0,1,1
j. j.crowder,0,2,2,0,11,11
j. j.daniels,7,0,7,7,0,7
j. j.deguara,0,0,0,0,2,2
j. j.dobbins,9,0,9,22,2,24
j. j.dobbs,2,0,2,8,0,8
j. j.dotson,0,1,1,0,12,12
j. j.downs,0,5,5,0,7,7
j. j.doyle,0,0,0,0,7,7
j. j.ferguson,0,0,0,0,10,10
j. j.fields,5,0,5,19,0,19
j. j.ford,3,0,3,7,5,12
j. j.fortson,0,0,0,0,4,4
j. j.garoppolo,0,0,0,5,0,5
j. j.gibbs,18,3,21,31,4,35
j. j.goff,0,1,1,6,1,7
j. j.gordon,0,0,0,0,1,1
j. j.graham,0,0,0,0,16,16
j. j.grant,0,0,0,0,3,3
j. j.guyton,0,0,0,0,7,7
j. j.hardy,0,0,0,1,0,1
j. j.hasty,0,1,1,4,2,6
j. j.herbert,2,0,2,13,0,13
j. j.hill,1,4,5,4,6,10
j. j.hollister,0,0,0,0,4,4
j. j.horsted,0,0,0,0,2,2
j. j.howard,0,0,0,7,0,7
j. j.hurts,19,0,19,65,0,65
j. j.jackson,0,0,0,3,1,4
j. j.jacobs,16,1,17,55,1,56
j. j.james,0,0,0,0,3,3
j. j.jefferson,0,10,10,3,40,43
j. j.jennings,0,6,6,0,14,14
j. j.jeudy,0,4,4,0,15,15
j. j.johnson,0,3,3,0,19,19
j. j.jones,0,0,0,0,10,10
j. j.kelley,0,0,0,6,0,6
j. j.kumerow,0,0,0,0,1,1
j. j.landry,0,0,0,3,8,11
j. j.love,1,0,1,5,0,5
j. j.luton,0,0,0,1,0,1
j. j.mason,3,0,3,7,0,7
j. j.mckinnon,0,0,0,7,16,23
j. j.mckissic,0,0,0,4,4,8
j. j.mclaughlin,1,2,3,2,4,6
j. j.mcmillan,0,8,8,0,8,8
j. j.mcnichols,5,0,5,6,1,7
j. j.metchie,0,1,1,0,1,1
j. j.meyers,0,4,4,2,20,22
j. j.milton,1,0,1,1,0,1
j. j.mitchell,0,0,0,0,1,1
j. j.mixon,13,1,14,47,10,57
j. j.mundt,0,2,2,0,4,4
j. j.nailor,0,6,6,0,7,7
j. j.oliver,0,3,3,0,7,7
j. j.palmer,0,1,1,0,10,10
j. j.patterson,0,0,0,2,0,2
j. j.polk,0,2,2,0,2,2
j. j.reagor,0,0,0,0,4,4
j. j.reed,1,6,7,4,18,22
j. j.reynolds,0,1,1,0,14,14
j. j.richard,0,0,0,1,0,1
j. j.robinson,0,0,0,18,5,23
j. j.ross,0,0,0,0,1,1
j. j.sanders,0,1,1,0,1,1
j. j.simmons,0,0,0,0,1,1
j. j.smith,0,8,8,1,20,21
j. j.smith-njigba,0,6,6,0,10,10
j. j.smith-schuster,0,2,2,1,16,17
j. j.stanton,0,0,0,0,1,1
j. j.sternberger,0,0,0,0,1,1
j. j.taylor,11,1,12,54,5,59
j. j.thomas,0,0,0,0,1,1
j. j.tolbert,0,7,7,0,9,9
j. j.virgil,0,0,0,0,1,1
j. j.waddle,0,2,2,1,20,21
j. j.ward,0,0,0,0,1,1
j. j.warren,1,0,1,6,0,6
j. j.washington,0,0,0,0,8,8
j. j.white,0,0,0,3,1,4
j. j.whyle,0,1,1,0,2,2
j. j.wilkins,0,0,0,1,0,1
j. j.williams,4,4,8,20,14,34
j. j.wilson,0,1,1,15,5,20
j. j.wims,0,0,0,0,1,1
j. j.winston,1,0,1,2,0,2
j. j.witten,0,0,0,0,2,2
j. j.woods,0,0,0,0,3,3
j. ja.williams,3,2,5,20,2,22
j. jos.allen,0,0,0,1,0,1
j. ju.watson,0,2,2,0,7,7
j.adams,0,0,0,2,0,2
j.addison,1,9,10,1,19,20
j.agnew,0,0,0,1,5,6
j.akins,0,2,2,0,8,8
j.allen,14,0,14,54,1,55
j.bates,0,0,0,0,2,2
j.bobo,0,1,1,1,3,4
j.brissett,0,0,0,6,0,6
j.brooks,0,1,1,0,1,1
j.brown,0,0,0,0,4,4
j.browning,0,0,0,3,0,3
j.brownlee,0,0,0,0,1,1
j.burrow,2,0,2,13,0,13
j.cabinda,0,0,0,0,1,1
j.chase,0,17,17,0,49,49
j.coker,0,2,2,0,2,2
j.conner,8,1,9,45,7,52
j.cook,19,2,21,24,18,42
j.croom,0,0,0,0,1,1
j.crowder,0,2,2,0,11,11
j.daniels,7,0,7,7,0,7
j.deguara,0,0,0,0,2,2
j.dobbins,9,0,9,22,2,24
j.dobbs,2,0,2,8,0,8
j.dotson,0,1,1,0,12,12
j.downs,0,5,5,0,7,7
j.doyle,0,0,0,0,7,7
j.ferguson,0,0,0,0,10,10
j.fields,5,0,5,19,0,19
j.ford,3,0,3,7,5,12
j.fortson,0,0,0,0,4,4
j.garoppolo,0,0,0,5,0,5
j.gibbs,18,3,21,31,4,35
j.goff,0,1,1,6,1,7
j.gordon,0,0,0,0,1,1
j.graham,0,0,0,0,16,16
j.grant,0,0,0,0,3,3
j.guyton,0,0,0,0,7,7
j.hardy,0,0,0,1,0,1
j.hasty,0,1,1,4,2,6
j.herbert,2,0,2,13,0,13
j.hill,1,4,5,4,6,10
j.hollister,0,0,0,0,4,4
j.horsted,0,0,0,0,2,2
j.howard,0,0,0,7,0,7
j.hurts,19,0,19,65,0,65
j.j.adams,0,0,0,2,0,2
j.j.addison,1,9,10,1,19,20
j.j.agnew,0,0,0,1,5,6
j.j.akins,0,2,2,0,8,8
j.j.allen,14,0,14,54,1,55
j.j.bates,0,0,0,0,2,2
j.j.bobo,0,1,1,1,3,4
j.j.brissett,0,0,0,6,0,6
j.j.brooks,0,1,1,0,1,1
j.j.brown,0,0,0,0,4,4
j.j.browning,0,0,0,3,0,3
j.j.brownlee,0,0,0,0,1,1
j.j.burrow,2,0,2,13,0,13
j.j.cabinda,0,0,0,0,1,1
j.j.chase,0,17,17,0,49,49
j.j.coker,0,2,2,0,2,2
j.j.conner,8,1,9,45,7,52
j.j.cook,19,2,21,24,18,42
j.j.croom,0,0,0,0,1,1
j.j.crowder,0,2,2,0,11,11
j.j.daniels,7,0,7,7,0,7
j.j.deguara,0,0,0,0,2,2
j.j.dobbins,9,0,9,22,2,24
j.j.dobbs,2,0,2,8,0,8
